Region,State,Max_Demand_Met_Day_MW,Shortage_Max_Demand_MW,Energy_Met_MU,Drawal_Schedule_MU,OD_UD_MU,Max_OD_MW,Energy_Shortage_MU,Date
NR,Punjab,6237,0,120.0,57.6,-1.0,56,0.00,2021-01-09
NR,Haryana,6319,0,119.8,88.9,0.5,172,0.00,2021-01-09
NR,Rajasthan,12404,0,231.5,75.4,0.0,459,0.00,2021-01-09
NR,Delhi,4124,0,68.3,57.1,-0.8,262,0.04,2021-01-09
NR,UP,15510,0,273.3,85.6,-4.1,176,0.00,2021-01-09
NR,Uttarakhand,2216,0,40.1,22.9,-0.5,132,0.00,2021-01-09
NR,HP,1823,0,32.8,27.0,-0.3,117,0.00,2021-01-09
NR,J&K(UT) & Ladakh(UT),2811,600,55.1,48.4,0.8,340,12.40,2021-01-09
NR,Chandigarh,220,0,3.6,3.6,0.0,30,0.00,2021-01-09
WR,Chhattisgarh,4159,0,88.9,39.6,-0.2,184,0.00,2021-01-09
WR,Gujarat,17007,0,341.9,96.4,-0.3,1126,0.00,2021-01-09
WR,MP,12784,0,256.1,160.3,-3.5,619,0.00,2021-01-09
WR,Maharashtra,21369,0,440.8,164.1,-3.4,579,0.00,2021-01-09
WR,Goa,589,0,12.6,11.9,0.3,47,0.00,2021-01-09
WR,DD,333,0,7.5,7.3,0.2,33,0.00,2021-01-09
WR,DNH,851,0,19.5,19.5,0.0,45,0.00,2021-01-09
WR,AMNSIL,832,0,18.0,11.5,0.0,263,0.00,2021-01-09
SR,Andhra Pradesh,7996,0,159.6,59.5,1.1,634,0.00,2021-01-09
SR,Telangana,11375,0,211.0,89.7,0.2,524,0.00,2021-01-09
SR,Karnataka,9284,0,172.7,71.5,-1.2,570,0.00,2021-01-09
SR,Kerala,3413,0,69.2,51.7,-0.2,177,0.00,2021-01-09
SR,Tamil Nadu,12691,0,258.0,167.5,0.1,463,0.00,2021-01-09
SR,Puducherry,342,0,7.0,7.3,-0.2,19,0.00,2021-01-09
ER,Bihar,4557,0,81.7,79.1,-1.9,546,0.00,2021-01-09
ER,DVC,2325,0,66.7,-36.8,2.3,241,0.00,2021-01-09
ER,Jharkhand,1450,0,26.3,21.4,-3.2,53,0.00,2021-01-09
ER,Odisha,3449,0,72.3,3.4,1.6,548,0.00,2021-01-09
ER,West Bengal,6218,0,121.1,14.0,-0.3,441,0.00,2021-01-09
ER,Sikkim,141,0,1.9,1.9,0.1,46,0.00,2021-01-09
NER,Arunachal Pradesh,139,1,2.1,2.4,-0.3,30,0.01,2021-01-09
NER,Assam,1456,15,24.0,18.8,-0.1,85,0.70,2021-01-09
NER,Manipur,230,1,2.9,3.2,-0.3,34,0.01,2021-01-09
NER,Meghalaya,367,0,6.6,5.1,0.0,31,0.00,2021-01-09
NER,Mizoram,115,1,1.7,1.4,-0.1,22,0.01,2021-01-09
NER,Nagaland,130,2,2.1,2.0,0.0,24,0.01,2021-01-09
NER,Tripura,217,0,3.6,2.9,-0.3,35,0.00,2021-01-09
NR,Punjab,8744,0,161.0,63.2,-0.2,187,0.00,2024-01-13
NR,Haryana,9075,0,164.9,98.4,1.0,242,1.28,2024-01-13
NR,Rajasthan,17430,5,326.0,127.9,0.6,330,3.69,2024-01-13
NR,Delhi,5316,0,87.3,73.7,-0.7,427,0.00,2024-01-13
NR,UP,20257,186,371.8,107.6,0.0,665,1.32,2024-01-13
NR,Uttarakhand,2452,0,47.0,38.0,-0.7,119,0.37,2024-01-13
NR,HP,2079,0,37.0,31.2,0.5,244,0.00,2024-01-13
NR,J&K(UT) & Ladakh(UT),3016,90,65.2,60.6,0.1,267,1.01,2024-01-13
NR,Chandigarh,303,0,5.1,4.9,0.2,105,0.00,2024-01-13
NR,Railways_NR ISTS,194,0,3.4,3.3,0.1,47,0.00,2024-01-13
WR,Chhattisgarh,5245,0,106.7,43.9,-0.4,159,0.00,2024-01-13
WR,Gujarat,21520,0,420.7,162.4,-1.9,575,0.00,2024-01-13
WR,MP,16101,0,297.2,173.9,-3.3,386,0.00,2024-01-13
WR,Maharashtra,27693,0,579.3,183.7,2.8,895,0.00,2024-01-13
WR,Goa,690,0,14.0,12.7,0.7,34,0.00,2024-01-13
WR,DNHDDPDCL,1275,0,29.4,29.7,-0.3,20,0.00,2024-01-13
WR,AMNSIL,859,0,18.4,9.6,-0.2,248,0.00,2024-01-13
WR,BALCO,524,0,12.5,12.5,0.0,12,0.00,2024-01-13
SR,Andhra Pradesh,11203,0,209.0,73.1,0.2,710,0.00,2024-01-13
SR,Telangana,13488,0,249.8,115.3,3.1,952,0.00,2024-01-13
SR,Karnataka,14511,0,269.1,111.7,0.9,1132,0.00,2024-01-13
SR,Kerala,3993,0,78.9,62.9,-0.9,200,0.00,2024-01-13
SR,Tamil Nadu,15107,0,309.2,166.2,1.2,855,0.00,2024-01-13
SR,Puducherry,395,0,8.8,8.2,-0.2,20,0.00,2024-01-13
ER,Bihar,5008,338,96.3,89.3,0.5,380,3.56,2024-01-13
ER,DVC,3426,0,73.6,-44.2,-0.1,367,0.00,2024-01-13
ER,Jharkhand,1653,0,31.4,22.6,-1.1,258,2.34,2024-01-13
ER,Odisha,4718,0,94.2,18.5,-0.8,395,0.00,2024-01-13
ER,West Bengal,6947,0,140.9,35.4,-6.7,266,0.00,2024-01-13
ER,Sikkim,114,0,1.8,2.0,-0.2,5,0.00,2024-01-13
ER,Railways_ER ISTS,10,0,0.1,0.1,0.0,0,0.00,2024-01-13
NER,Arunachal Pradesh,171,0,2.6,2.6,-0.1,37,0.00,2024-01-13
NER,Assam,1554,0,25.8,22.7,0.6,182,0.00,2024-01-13
NER,Manipur,193,0,3.0,3.1,-0.1,28,0.13,2024-01-13
NER,Meghalaya,342,38,6.4,5.4,-0.4,145,0.25,2024-01-13
NER,Mizoram,151,0,2.3,1.7,-0.1,11,0.00,2024-01-13
